uid,page,ip,country,province,city,access_time
1273750617,display_detail,223.102.222.127,中国,辽宁,本溪,2018-02-16 14:46:37
5175655487,display_detail,223.102.222.127,中国,辽宁,本溪,2018-02-16 14:48:33
5088008316,display_detail,223.102.222.127,中国,辽宁,本溪,2018-02-16 14:48:46
1626912380,display_detail,223.102.222.127,中国,辽宁,本溪,2018-02-16 14:48:57
5175655487,display_detail,171.111.242.208,中国,广西壮族自治区,河池,2018-02-16 14:50:30
5175655487,display_detail,113.200.107.249,中国,陕西,西安,2018-02-16 14:50:44
1220407074,display_detail,182.133.201.30,中国,四川,宜宾,2018-02-16 14:51:13
2683468644,display_detail,58.22.114.75,中国,福建,福州,2018-02-16 14:51:41
1626912380,display_detail,171.107.218.30,中国,广西壮族自治区,梧州,2018-02-16 14:51:41
1878650541,display_detail,117.136.86.175,中国,陕西,西安,2018-02-16 14:51:43
5175655487,display_detail,112.224.21.74,中国,山东,济南,2018-02-16 14:52:36
5175655487,display_detail,101.87.243.6,中国,上海,上海,2018-02-16 14:52:36
5175655487,display_detail,112.224.21.74,中国,山东,济南,2018-02-16 14:52:36
6020873224,display_detail,36.149.15.246,中国,江苏,无锡,2018-02-16 14:52:38
5461366896,display_detail,117.136.100.15,中国,安徽,合肥,2018-02-16 14:52:42
3037291672,display_detail,36.149.15.246,中国,江苏,无锡,2018-02-16 14:52:47
5904776180,display_detail,117.136.100.15,中国,安徽,合肥,2018-02-16 14:52:54
5175655487,display_detail,103.251.98.38,中国,广西壮族自治区,桂林,2018-02-16 14:52:59
5881171446,display_detail,36.149.15.246,中国,江苏,无锡,2018-02-16 14:53:01
1626912380,display_detail,183.193.33.167,中国,上海,上海,2018-02-16 14:53:08
5175655487,display_detail,183.185.129.159,中国,山西,太原,2018-02-16 14:53:21
5175655487,display_detail,14.215.176.5,中国,广东,广州,2018-02-16 14:53:33
3792796635,display_detail,117.136.100.15,中国,安徽,合肥,2018-02-16 14:53:47
5396919861,display_detail,223.102.222.127,中国,辽宁,本溪,2018-02-16 14:54:09
5175655487,display_detail,117.136.100.15,中国,安徽,合肥,2018-02-16 14:54:12
5175655487,display_detail,42.89.86.101,中国,甘肃,天水,2018-02-16 14:54:26
3173872645,display_detail,60.207.154.132,中国,北京,北京,2018-02-16 14:54:28
3173872645,display_detail,60.207.154.132,中国,北京,北京,2018-02-16 14:54:41
1957954904,display_detail,110.184.205.32,中国,四川,成都,2018-02-16 14:54:47
3173872645,display_detail,110.180.23.228,中国,山西,阳泉,2018-02-16 14:54:51
