wbid,wbtype,uid,batch




4164710049295701,comment,5843691269,2
4164710049295701,comment,1140919270,2
4164710049295701,comment,1835074257,2
4164710049295701,comment,5734384979,2
4190981165242384,comment,1140919270,2
4190981165242384,comment,1882793354,2
4190981165242384,comment,1140919270,2
4190981165242384,comment,5563180967,2
4190981165242384,comment,1140919270,2
4190981165242384,comment,5734384979,2
4173678180262705,comment,6389523022,2
4173678180262705,comment,1140919270,2
4173678180262705,comment,1140919270,2
4173678180262705,comment,1883005004,2
4165057644759601,comment,2941152563,2
4165057644759601,comment,5843691269,2
4165057644759601,comment,1918357267,2
4165057644759601,comment,5734384979,2
4165057644759601,comment,1140919270,2
4165057644759601,comment,1140919270,2
4172676953896327,comment,1290968245,2
4172676953896327,comment,1140919270,2
4172676953896327,comment,1140919270,2
4172676953896327,comment,1140919270,2
4172676953896327,comment,5697929240,2
4172676953896327,comment,1140919270,2
4172676953896327,comment,1820470743,2
4172676953896327,comment,1290968245,2
4165056813433101,comment,1633643431,2
4165056813433101,comment,1857147483,2
4165056813433101,comment,1140919270,2
4165056813433101,comment,1140919270,2
4165056813433101,comment,1857147483,2
4165056813433101,comment,1140919270,2
4180514606426164,comment,1140919270,2
4180514606426164,comment,1952822757,2
4180514606426164,comment,1140919270,2
4180514606426164,comment,5849563587,2
4180514606426164,comment,1140919270,2
4180514606426164,comment,1140919270,2
4180514606426164,comment,1140919270,2
4180514606426164,comment,1952822757,2
4169745043020925,comment,1820470743,2
4169745043020925,comment,1140919270,2
4169745043020925,comment,2194259045,2
4169745043020925,comment,5734384979,2
4186799364204895,comment,1835074257,2
4186799364204895,comment,5734384979,2
4163987706620772,comment,1835074257,2
4163987706620772,comment,1140919270,2
4163987706620772,comment,1140919270,2
4163987706620772,comment,1835074257,2
4160666799074298,comment,1140919270,2
4160666799074298,comment,5225907430,2
4160666799074298,comment,1140919270,2
4160666799074298,comment,1140919270,2
4160666799074298,comment,1140919270,2
4160666799074298,comment,1633643431,2
4160666799074298,comment,1633643431,2
4160666799074298,comment,5225907430,2
4160666799074298,comment,5225907430,2
4161905100273732,comment,5682030205,2
4161905100273732,comment,5635761612,2
4161905100273732,comment,5734384979,2
4186434695138946,comment,1835074257,2
4186434695138946,comment,6081290062,2
4186434695138946,comment,1793285030,2
4186434695138946,comment,1530509057,2
4190423586862734,comment,1140919270,2
4190423586862734,comment,1140919270,2
4190423586862734,comment,2941152563,2
4190423586862734,comment,1822217071,2
4190423586862734,comment,5734384979,2
4162089927252951,comment,2431157984,2
4162089927252951,comment,1290968245,2
4162089927252951,comment,1140919270,2
4186335109081082,comment,6081290062,2
4186335109081082,comment,1882793354,2
4186335109081082,comment,1882793354,2
4186335109081082,comment,1140919270,2
4186335109081082,comment,1140919270,2
4175094878237350,comment,1793285030,2
4175094878237350,comment,1890909417,2
4175094878237350,comment,2768346625,2
4175094878237350,comment,1557363042,2
4175094878237350,comment,6081290062,2
4175094878237350,comment,5697929240,2
4175094878237350,comment,3932448467,2
4175094878237350,comment,1607321443,2
4175094878237350,comment,5734384979,2
4175094878237350,comment,2874882984,2
4175094878237350,comment,1140919270,2
4163969059633357,comment,5734384979,2
